,GO,count,defence,GO_Record,fdr,geno
114,'de novo' GDP-L-fucose biosynthetic process,1,False,GO:0042351,1.0,lym
107,'de novo' GDP-L-fucose biosynthetic process,1,False,GO:0042351,1.0,col
115,'de novo' IMP biosynthetic process,6,False,GO:0006189,0.4349434279753759,lym
108,'de novo' IMP biosynthetic process,1,False,GO:0006189,1.0,col
116,'de novo' UMP biosynthetic process,2,False,GO:0044205,1.0,lym
117,'de novo' cotranslational protein folding,1,False,GO:0051083,1.0,lym
118,'de novo' protein folding,3,False,GO:0006458,0.9194054893928421,lym
119,'de novo' pyrimidine nucleobase biosynthetic process,1,False,GO:0006207,1.0,lym
0,(+)-abscisic acid 8'-hydroxylase activity,2,True,GO:0010295,1.0,col
0,(+)-abscisic acid 8'-hydroxylase activity,2,True,GO:0010295,1.0,lym
1,(+)-abscisic acid D-glucopyranosyl ester transmembrane transport,1,True,GO:1902418,1.0,lym
2,(+)-abscisic acid D-glucopyranosyl ester transmembrane transporter activity,1,True,GO:1902417,1.0,lym
109,(-)-pinoresinol biosynthetic process,1,False,GO:1901599,1.0,col
120,(-)-pinoresinol biosynthetic process,1,False,GO:1901599,1.0,lym
121,(1->3)-beta-D-glucan binding,3,False,GO:0001872,0.8744078585946239,lym
122,(1->3)-beta-D-glucan biosynthetic process,1,False,GO:0006075,1.0,lym
110,"(E,E)-geranyllinalool synthase activity",1,False,GO:0080013,1.0,col
123,(R)-2-hydroxy-alpha-linolenic acid biosynthetic process,1,False,GO:1902609,1.0,lym
111,(S)-2-hydroxy-acid oxidase activity,1,False,GO:0003973,1.0,col
124,"1,2-alpha-L-fucosidase activity",1,False,GO:0047513,1.0,lym
112,"1,2-alpha-L-fucosidase activity",1,False,GO:0047513,1.0,col
125,"1,3-beta-D-glucan synthase activity",1,False,GO:0003843,1.0,lym
126,"1,3-beta-D-glucan synthase complex",1,False,GO:0000148,1.0,lym
113,"1,4-dihydroxy-2-naphthoyl-CoA synthase activity",1,False,GO:0008935,1.0,col
114,"1,4-dihydroxy-2-naphthoyl-CoA thioesterase activity",1,False,GO:0061522,1.0,col
127,"1,4-dihydroxy-2-naphthoyl-CoA thioesterase activity",1,False,GO:0061522,1.0,lym
115,1-acyl-2-lysophosphatidylserine acylhydrolase activity,1,False,GO:0052740,1.0,col
116,1-acylglycerol-3-phosphate O-acyltransferase activity,2,False,GO:0003841,1.0,col
128,1-acylglycerol-3-phosphate O-acyltransferase activity,2,False,GO:0003841,1.0,lym
129,1-aminocyclopropane-1-carboxylate biosynthetic process,1,False,GO:0042218,1.0,lym
117,1-aminocyclopropane-1-carboxylate biosynthetic process,1,False,GO:0042218,1.0,col
130,1-aminocyclopropane-1-carboxylate deaminase activity,1,False,GO:0008660,1.0,lym
118,1-aminocyclopropane-1-carboxylate oxidase activity,1,False,GO:0009815,1.0,col
131,1-aminocyclopropane-1-carboxylate oxidase activity,2,False,GO:0009815,1.0,lym
132,1-aminocyclopropane-1-carboxylate synthase activity,4,False,GO:0016847,1.0,lym
119,1-aminocyclopropane-1-carboxylate synthase activity,4,False,GO:0016847,1.0,col
120,1-phosphatidylinositol 4-kinase activity,4,False,GO:0004430,1.0,col
133,1-phosphatidylinositol 4-kinase activity,3,False,GO:0004430,1.0,lym
121,1-phosphatidylinositol binding,3,False,GO:0005545,1.0,col
134,1-phosphatidylinositol binding,9,False,GO:0005545,0.23531373361255548,lym
122,1-phosphatidylinositol-3-kinase activity,1,False,GO:0016303,1.0,col
123,1-phosphatidylinositol-3-phosphate 5-kinase activity,1,False,GO:0000285,1.0,col
135,1-phosphatidylinositol-3-phosphate 5-kinase activity,1,False,GO:0000285,1.0,lym
124,1-phosphatidylinositol-4-phosphate 5-kinase activity,2,False,GO:0016308,1.0,col
136,1-phosphatidylinositol-4-phosphate 5-kinase activity,3,False,GO:0016308,1.0,lym
137,10-formyltetrahydrofolate biosynthetic process,3,False,GO:0009257,0.4349434279753759,lym
138,12-oxophytodienoate reductase activity,2,False,GO:0016629,1.0,lym
125,12-oxophytodienoate reductase activity,2,False,GO:0016629,1.0,col
126,16:0 monogalactosyldiacylglycerol desaturase activity,1,False,GO:0009979,1.0,col
127,"2 iron, 2 sulfur cluster binding",3,False,GO:0051537,1.0,col
139,"2 iron, 2 sulfur cluster binding",3,False,GO:0051537,0.41954044317980155,lym
128,"2,3-bisphosphoglycerate-independent phosphoglycerate mutase activity",1,False,GO:0046537,1.0,col
