,COL,LYM,COL_LYM,CERK,COL_CERK,LYM_CERK,ALL
0,AT5G66690,AT5G52710,AT2G34640,0.0,,,
1,AT5G66470,AT5G28500,AT2G28000,,,,
2,AT5G65220,AT5G26800,AT2G32179,,,,
3,AT5G62670,AT5G19600,AT3G63190,,,,
4,AT5G58250,AT5G16250,AT5G08640,,,,
5,AT5G56670,AT5G13630,AT5G11450,,,,
6,AT5G56120,AT5G08280,AT4G34950,,,,
7,AT5G55580,AT4G38370,AT3G18680,,,,
8,AT5G55220,AT4G33270,AT5G58310,,,,
9,AT5G54370,AT4G25220,AT4G30950,,,,
10,AT5G53500,AT4G24265,AT3G52150,,,,
11,AT5G52050,AT4G20362,AT5G03940,,,,
12,AT5G51100,AT4G19710,AT1G29070,,,,
13,AT5G50250,AT4G15290,AT3G48720,,,,
14,AT5G49480,AT3G63510,AT3G20440,,,,
15,AT5G49330,AT3G58610,AT1G48600,,,,
16,AT5G48470,AT3G57610,AT4G38775,,,,
17,AT5G48010,AT3G55120,AT2G15128,,,,
18,AT5G48000,AT3G48110,AT4G04350,,,,
19,AT5G47500,AT3G28740,AT2G32230,,,,
20,AT5G47450,AT3G27180,AT3G13120,,,,
21,AT5G47190,AT3G18890,AT1G09750,,,,
22,AT5G46890,AT3G18390,AT5G14650,,,,
23,AT5G45930,AT3G04340,AT2G02740,,,,
24,AT5G45700,AT3G04260,AT3G55800,,,,
25,AT5G42800,AT2G44040,AT5G18570,,,,
26,AT5G42720,AT2G41680,AT1G06002,,,,
27,AT5G39980,AT2G40300,AT1G73600,,,,
28,AT5G38430,AT2G36885,AT5G19220,,,,
29,AT5G36180,AT2G36250,AT4G21770,,,,
30,AT5G35360,AT2G30695,AT4G20130,,,,
31,AT5G26290,AT2G23350,AT4G28250,,,,
32,AT5G26260,AT2G04030,AT1G31690,,,,
33,AT5G23310,AT1G74970,AT1G06000,,,,
34,AT5G21920,AT1G65310,AT1G10522,,,,
35,AT5G19750,AT1G64770,AT2G27402,,,,
36,AT5G18860,AT1G56050,AT1G30530,,,,
37,AT5G18660,AT1G30110,AT3G63160,,,,
38,AT5G17870,AT1G14030,AT1G55490,,,,
39,AT5G16620,,AT5G01590,,,,
40,AT5G14910,,AT2G31840,,,,
41,AT5G14660,,AT2G43030,,,,
42,AT5G13580,,AT5G51720,,,,
43,AT5G13510,,AT1G62780,,,,
44,AT5G11510,,AT1G49860,,,,
45,AT5G08610,,AT4G24280,,,,
46,AT5G08570,,AT3G17185,,,,
47,AT5G08400,,AT1G12800,,,,
48,AT5G08050,,AT4G26220,,,,
49,AT5G07130,,AT1G59990,,,,
50,AT5G07090,,AT3G48730,,,,
51,AT5G07030,,AT4G17340,,,,
52,AT5G06290,,AT1G09310,,,,
53,AT5G05270,,AT2G45470,,,,
54,AT5G04620,,AT3G09260,,,,
55,AT5G04130,,AT4G12320,,,,
56,AT4G39710,,AT4G29060,,,,
57,AT4G39460,,AT4G38770,,,,
58,AT4G36360,,AT1G62750,,,,
59,AT4G35730,,AT2G42220,,,,
60,AT4G34730,,AT2G33800,,,,
61,AT4G34620,,AT5G63420,,,,
62,AT4G33610,,AT5G19221,,,,
63,AT4G29390,,AT2G42600,,,,
64,AT4G28660,,AT1G49975,,,,
65,AT4G28510,,AT5G49030,,,,
66,AT4G26660,,AT4G30720,,,,
67,AT4G23940,,AT4G34290,,,,
68,AT4G23820,,AT3G23940,,,,
69,AT4G23430,,AT5G52520,,,,
70,AT4G21760,,AT3G03630,,,,
71,AT4G18730,,AT4G24770,,,,
72,AT4G18440,,AT5G20630,,,,
73,AT4G17560,,AT2G48130,,,,
74,AT4G12543,,AT3G16420,,,,
75,AT4G09040,,AT3G25660,,,,
76,AT4G04750,,AT3G24430,,,,
77,AT4G01310,,AT2G37220,,,,
78,AT4G01037,,AT3G14930,,,,
79,AT3G62530,,AT5G15180,,,,
80,AT3G61820,,AT1G07320,,,,
81,AT3G61470,,AT1G69200,,,,
82,AT3G57010,,AT1G13420,,,,
83,AT3G56090,,AT5G48880,,,,
84,AT3G56070,,AT4G26370,,,,
85,AT3G55660,,AT5G66530,,,,
86,AT3G55400,,AT1G78570,,,,
87,AT3G54260,,AT3G48500,,,,
88,AT3G54090,,AT5G15780,,,,
89,AT3G54050,,AT5G55280,,,,
90,AT3G53900,,AT2G19970,,,,
91,AT3G53190,,AT5G46580,,,,
92,AT3G51820,,AT2G47940,,,,
93,AT3G51350,,AT2G39040,,,,
94,AT3G51240,,AT3G02885,,,,
95,AT3G49260,,AT1G01790,,,,
96,AT3G47650,,AT4G11320,,,,
97,AT3G46780,,AT1G09340,,,,
98,AT3G46270,,AT5G13930,,,,
99,AT3G45070,,,,,,
100,AT3G45030,,,,,,
101,AT3G44890,,,,,,
102,AT3G26060,,,,,,
103,AT3G25700,,,,,,
104,AT3G24830,,,,,,
105,AT3G24770,,,,,,
106,AT3G24300,,,,,,
107,AT3G23820,,,,,,
108,AT3G20370,,,,,,
109,AT3G20230,,,,,,
110,AT3G19508,,,,,,
111,AT3G18900,,,,,,
112,AT3G17830,,,,,,
113,AT3G17170,,,,,,
114,AT3G16450,,,,,,
115,AT3G16400,,,,,,
116,AT3G16380,,,,,,
117,AT3G16290,,,,,,
118,AT3G16250,,,,,,
119,AT3G15190,,,,,,
120,AT3G14900,,,,,,
121,AT3G14110,,,,,,
122,AT3G13180,,,,,,
123,AT3G12930,,,,,,
124,AT3G09250,,,,,,
125,AT3G08785,,,,,,
126,AT3G06980,,,,,,
127,AT3G05730,,,,,,
128,AT3G05340,,,,,,
129,AT3G04650,,,,,,
130,AT3G03920,,,,,,
131,AT3G01505,,,,,,
132,AT3G01440,,,,,,
133,AT2G43550,,,,,,
134,AT2G43100,,,,,,
135,AT2G41840,,,,,,
