,COL,LYM,COL_LYM,CERK,COL_CERK,LYM_CERK,ALL
0,AT5G66120,AT5G67340,AT4G22240,0.0,,,
1,AT5G65110,AT5G63790,AT1G74590,,,,
2,AT5G64440,AT5G58710,AT1G09560,,,,
3,AT5G62680,AT5G56960,AT4G34230,,,,
4,AT5G58620,AT5G44575,AT2G38870,,,,
5,AT5G54940,AT5G39190,AT5G11210,,,,
6,AT5G53990,AT5G39150,AT5G64572,,,,
7,AT5G53870,AT5G25930,AT5G25250,,,,
8,AT5G51640,AT5G24090,AT4G18250,,,,
9,AT5G51070,AT5G09800,AT1G04980,,,,
10,AT5G49700,AT5G05250,AT5G05730,,,,
11,AT5G48657,AT4G26910,AT3G48000,,,,
12,AT5G47590,AT4G25390,AT2G02390,,,,
13,AT5G47560,AT4G23885,AT4G16660,,,,
14,AT5G44990,AT4G23015,AT1G18570,,,,
15,AT5G44720,AT4G19810,AT5G19550,,,,
16,AT5G44572,AT4G18170,AT4G03985,,,,
17,AT5G43470,AT4G11521,AT4G27730,,,,
18,AT5G42050,AT4G01070,AT4G24110,,,,
19,AT5G42020,AT3G62600,AT4G12480,,,,
20,AT5G40590,AT3G56360,AT3G09405,,,,
21,AT5G40170,AT3G51450,AT5G06860,,,,
22,AT5G39670,AT3G47640,AT5G39110,,,,
23,AT5G39610,AT3G44720,AT5G02780,,,,
24,AT5G39020,AT3G44310,AT4G37530,,,,
25,AT5G38780,AT3G28580,AT4G31500,,,,
26,AT5G33290,AT3G27220,AT1G61560,,,,
27,AT5G28540,AT3G20470,AT1G51800,,,,
28,AT5G27420,AT3G13520,AT1G27980,,,,
29,AT5G27060,AT3G09520,AT5G27600,,,,
30,AT5G25350,AT2G43000,AT1G62300,,,,
31,AT5G25265,AT2G38710,AT4G01700,,,,
32,AT5G24210,AT2G38470,AT3G28940,,,,
33,AT5G22290,AT2G36910,AT3G23570,,,,
34,AT5G21090,AT2G30720,AT3G23150,,,,
35,AT5G20960,AT2G27390,AT4G34200,,,,
36,AT5G20400,AT2G23320,AT1G02930,,,,
37,AT5G20250,AT2G16060,AT3G54640,,,,
38,AT5G20010,AT2G02230,AT5G04175,,,,
39,AT5G19890,AT1G78280,AT5G41990,,,,
40,AT5G19230,AT1G74010,AT4G25810,,,,
41,AT5G18490,AT1G67810,AT3G19930,,,,
42,AT5G17760,AT1G62740,AT3G19615,,,,
43,AT5G17380,AT1G57630,AT5G64905,,,,
44,AT5G16370,AT1G28280,AT3G01420,,,,
45,AT5G14780,AT1G21110,AT1G69920,,,,
46,AT5G13810,AT1G19020,AT2G30750,,,,
47,AT5G13800,AT1G18590,AT4G39950,,,,
48,AT5G13750,AT1G17860,AT1G26255,,,,
49,AT5G13420,AT1G13480,AT5G06730,,,,
50,AT5G13330,,AT1G02360,,,,
51,AT5G13170,,AT5G37740,,,,
52,AT5G12170,,AT2G46430,,,,
53,AT5G11520,,AT1G53625,,,,
