,COL,LYM,COL_LYM,CERK,COL_CERK,LYM_CERK,ALL
0,AT5G66558,AT5G67420,AT5G49330,0.0,,,
1,AT5G65210,AT5G67280,AT3G18490,,,,
2,AT5G64620,AT5G67200,AT5G43270,,,,
3,AT5G60890,AT5G67150,AT1G14280,,,,
4,AT5G60050,AT5G65640,AT3G46130,,,,
5,AT5G57770,AT5G65613,AT1G03300,,,,
6,AT5G57760,AT5G65410,AT5G66770,,,,
7,AT5G52550,AT5G64670,AT2G34520,,,,
8,AT5G52545,AT5G64340,AT5G51770,,,,
9,AT5G51670,AT5G63530,AT3G58120,,,,
10,AT5G46580,AT5G63140,AT4G18380,,,,
11,AT5G43040,AT5G62650,AT5G67480,,,,
12,AT5G42130,AT5G61830,AT3G52060,,,,
13,AT5G39080,AT5G61420,AT5G07900,,,,
14,AT5G26960,AT5G61310,AT3G28040,,,,
15,AT5G25620,AT5G61020,AT2G30230,,,,
16,AT5G25240,AT5G61000,AT4G34950,,,,
17,AT5G24570,AT5G60960,AT1G26920,,,,
18,AT5G24010,AT5G60030,AT3G63200,,,,
19,AT5G22880,AT5G59020,AT1G04977,,,,
20,AT5G20620,AT5G58420,AT4G36690,,,,
21,AT5G19770,AT5G57685,AT2G40900,,,,
22,AT5G12050,AT5G57180,AT2G23790,,,,
23,AT5G11090,AT5G57020,AT4G37790,,,,
24,AT5G10965,AT5G56030,AT4G25620,,,,
25,AT5G07590,AT5G56010,AT2G45210,,,,
26,AT5G05250,AT5G54640,AT4G17880,,,,
27,AT5G04820,AT5G54630,AT5G44190,,,,
28,AT5G03670,AT5G54130,AT3G53700,,,,
29,AT5G03240,AT5G53500,AT1G44050,,,,
30,AT5G01810,AT5G53420,AT5G56040,,,,
31,AT4G39361,AT5G52010,AT5G02760,,,,
32,AT4G37430,AT5G51850,AT1G78170,,,,
33,AT4G36920,AT5G51550,AT2G41940,,,,
34,AT4G34810,AT5G48760,AT2G35260,,,,
35,AT4G30930,AT5G48730,AT1G76880,,,,
36,AT4G27240,AT5G47640,AT3G50300,,,,
37,AT4G26542,AT5G44930,AT3G59410,,,,
38,AT4G25780,AT5G41920,AT3G04530,,,,
39,AT4G16370,AT5G38890,AT1G68490,,,,
40,AT4G14990,AT5G35732,AT4G34020,,,,
41,AT4G13495,AT5G28540,AT5G25350,,,,
42,AT4G06598,AT5G28300,AT4G03140,,,,
43,AT4G04745,AT5G27330,AT3G15010,,,,
44,AT4G03400,AT5G24670,AT2G28550,,,,
45,AT4G02440,AT5G24660,AT1G04770,,,,
46,AT4G00030,AT5G24100,AT1G77240,,,,
47,AT3G60250,AT5G23480,AT2G27820,,,,
48,AT3G60220,AT5G23280,AT2G28200,,,,
49,AT3G56260,AT5G19750,AT5G14570,,,,
50,AT3G55120,AT5G18260,AT3G12610,,,,
51,AT3G48800,AT5G17600,AT1G09467,,,,
52,AT3G27880,AT5G16130,AT1G72600,,,,
53,AT3G25640,AT5G16000,AT5G03230,,,,
54,AT3G25500,AT5G15310,AT2G40330,,,,
55,AT3G18320,AT5G15210,AT2G02950,,,,
56,AT3G17160,AT5G13140,AT5G61570,,,,
57,AT3G14240,AT5G11060,AT4G19700,,,,
58,AT3G13570,AT5G10580,AT4G25750,,,,
59,AT3G09970,AT5G10550,AT2G18160,,,,
60,AT3G06150,AT5G09510,AT1G69530,,,,
61,AT3G04550,AT5G08690,AT5G66560,,,,
62,AT3G04160,AT5G08000,AT2G42620,,,,
63,AT2G46660,AT5G07240,AT1G06160,,,,
64,AT2G45430,AT5G05550,AT4G24660,,,,
65,AT2G42320,AT5G04475,AT3G59940,,,,
66,AT2G42190,AT5G02960,AT3G45210,,,,
67,AT2G41310,AT5G02590,AT3G04140,,,,
68,AT2G41230,AT5G02500,AT1G72430,,,,
69,AT2G40475,AT5G01930,AT2G44670,,,,
70,AT2G38820,AT5G01740,AT1G76890,,,,
71,AT2G37630,AT4G39800,AT5G07580,,,,
72,AT2G37035,AT4G38710,AT2G38180,,,,
73,AT2G37020,AT4G36130,AT5G43700,,,,
74,AT2G33480,AT4G35030,AT5G65630,,,,
75,AT2G30620,AT4G34220,AT2G17230,,,,
76,AT2G26640,AT4G32290,AT5G09670,,,,
77,AT2G25590,AT4G31910,AT2G38310,,,,
78,AT2G22800,AT4G31730,AT1G31173,,,,
79,AT2G21560,AT4G29410,AT5G55620,,,,
80,AT2G18300,AT4G29140,AT2G02630,,,,
81,AT2G16720,AT4G28890,AT4G38840,,,,
82,AT1G79160,AT4G26950,AT1G77680,,,,
83,AT1G79080,AT4G26850,AT2G21210,,,,
84,AT1G78600,AT4G26840,AT5G25340,,,,
85,AT1G75770,AT4G26540,AT2G47440,,,,
86,AT1G75730,AT4G26520,AT5G59780,,,,
87,AT1G75590,AT4G26130,AT4G38620,,,,
88,AT1G75580,AT4G25630,AT4G14480,,,,
89,AT1G74940,AT4G24810,AT3G49670,,,,
90,AT1G72510,AT4G24780,AT3G25717,,,,
91,AT1G72340,AT4G20270,AT2G30070,,,,
92,AT1G70230,AT4G19530,AT3G30180,,,,
93,AT1G68880,AT4G18100,AT5G57780,,,,
94,AT1G61840,AT4G17390,AT2G36090,,,,
95,AT1G60010,AT4G16720,AT3G61460,,,,
96,AT1G56020,AT4G16447,AT3G09275,,,,
97,AT1G51170,AT4G16380,AT1G10020,,,,
98,AT1G49660,AT4G16141,AT5G44680,,,,
99,AT1G48460,AT4G15000,AT5G54145,,,,
100,AT1G48300,AT4G14620,AT3G61950,,,,
101,AT1G31950,AT4G14605,AT3G20015,,,,
102,AT1G30080,AT4G14320,AT5G25280,,,,
103,AT1G29400,AT4G13940,AT1G68520,,,,
104,AT1G29357,AT4G13930,AT3G61590,,,,
105,AT1G29160,AT4G13493,AT3G60630,,,,
106,AT1G27930,AT4G12390,AT1G74850,,,,
107,AT1G25450,AT4G12310,AT2G27230,,,,
108,AT1G21920,AT4G10450,AT1G50420,,,,
109,AT1G20070,AT4G09890,AT5G15850,,,,
110,AT1G19620,AT4G09510,AT4G16390,,,,
111,AT1G17840,AT4G09500,AT3G14330,,,,
112,AT1G16390,AT4G06695,AT3G25700,,,,
113,AT1G15100,AT4G05785,AT4G38860,,,,
114,AT1G13360,AT4G04610,AT1G58110,,,,
115,AT1G13245,AT4G04350,AT4G16490,,,,
116,AT1G12710,AT4G04275,AT3G59400,,,,
117,AT1G12460,AT4G03210,AT2G35130,,,,
118,AT1G10550,AT4G02820,AT2G30520,,,,
119,AT1G10120,AT4G02130,AT5G56860,,,,
120,AT1G09900,AT4G00620,AT3G02570,,,,
121,AT1G09830,AT4G00430,AT2G47990,,,,
122,AT1G08592,AT4G00238,AT2G46690,,,,
123,AT1G07090,AT4G00050,AT5G13180,,,,
124,AT1G02300,AT3G63445,AT1G49205,,,,
125,,AT3G62630,AT3G57040,,,,
126,,AT3G61898,AT1G78080,,,,
127,,AT3G60850,AT2G18440,,,,
128,,AT3G59040,AT5G11550,,,,
129,,AT3G58990,AT3G12920,,,,
130,,AT3G58660,AT1G08650,,,,
131,,AT3G58430,AT3G56860,,,,
132,,AT3G57970,AT1G50040,,,,
133,,AT3G57830,AT1G74456,,,,
134,,AT3G57490,AT1G75960,,,,
135,,AT3G57150,AT5G58900,,,,
136,,AT3G55340,AT4G01410,,,,
137,,AT3G55280,AT4G08035,,,,
138,,AT3G54400,AT3G10525,,,,
139,,AT3G53460,AT1G78100,,,,
140,,AT3G53380,AT4G29720,,,,
141,,AT3G51110,AT3G22970,,,,
142,,AT3G50670,AT1G78450,,,,
143,,AT3G49910,AT2G18890,,,,
144,,AT3G49240,AT1G69760,,,,
145,,AT3G49080,AT2G18560,,,,
146,,AT3G47620,AT1G80080,,,,
147,,AT3G47420,AT5G15845,,,,
148,,AT3G45030,AT4G34760,,,,
149,,AT3G29230,AT2G45160,,,,
150,,AT3G27520,AT3G24070,,,,
151,,AT3G27320,AT3G13310,,,,
152,,AT3G25870,AT3G06990,,,,
153,,AT3G24830,AT4G34750,,,,
154,,AT3G22380,AT3G26810,,,,
155,,AT3G22104,AT1G79110,,,,
156,,AT3G21760,AT4G00040,,,,
157,,AT3G20830,AT1G15260,,,,
158,,AT3G20670,AT2G26110,,,,
159,,AT3G20000,AT4G38100,,,,
160,,AT3G19850,AT1G72645,,,,
161,,AT3G17970,AT1G62030,,,,
162,,AT3G17465,AT2G44940,,,,
163,,AT3G16330,AT3G11410,,,,
164,,AT3G15570,AT5G62920,,,,
165,,AT3G15080,AT5G52900,,,,
166,,AT3G13510,AT1G68550,,,,
167,,AT3G13230,AT1G75540,,,,
168,,AT3G13224,AT5G61590,,,,
169,,AT3G13190,AT1G09780,,,,
170,,AT3G12370,AT4G36648,,,,
171,,AT3G11110,AT5G54040,,,,
172,,AT3G10527,AT5G37260,,,,
173,,AT3G09440,AT1G60505,,,,
174,,AT3G08350,AT1G25440,,,,
175,,AT3G07860,AT5G59920,,,,
176,,AT3G07615,AT2G22100,,,,
177,,AT3G07050,AT5G24470,,,,
178,,AT3G06980,AT2G23130,,,,
179,,AT3G06870,AT3G25890,,,,
180,,AT3G06868,AT4G37540,,,,
181,,AT3G06240,AT1G49200,,,,
182,,AT3G06035,AT1G14920,,,,
183,,AT3G05800,AT4G04435,,,,
184,,AT3G05690,AT3G19680,,,,
185,,AT3G05590,AT2G43340,,,,
186,,AT3G05510,AT1G72610,,,,
187,,AT3G05060,AT5G60850,,,,
188,,AT3G03690,AT1G76090,,,,
189,,AT3G03130,AT5G03965,,,,
190,,AT3G02560,AT1G12820,,,,
191,,AT2G47220,AT3G62980,,,,
192,,AT2G45685,AT3G02170,,,,
193,,AT2G44120,AT5G65310,,,,
194,,AT2G43900,AT5G14370,,,,
195,,AT2G43710,AT5G65860,,,,
196,,AT2G42740,AT4G28240,,,,
197,,AT2G42280,,,,,
198,,AT2G42170,,,,,
199,,AT2G41900,,,,,
200,,AT2G39980,,,,,
201,,AT2G37270,,,,,
202,,AT2G37190,,,,,
203,,AT2G36880,,,,,
204,,AT2G36570,,,,,
205,,AT2G36530,,,,,
206,,AT2G35470,,,,,
207,,AT2G34780,,,,,
208,,AT2G34710,,,,,
209,,AT2G34340,,,,,
210,,AT2G31560,,,,,
211,,AT2G29660,,,,,
212,,AT2G26730,,,,,
213,,AT2G25210,,,,,
214,,AT2G24050,,,,,
215,,AT2G23430,,,,,
216,,AT2G23350,,,,,
217,,AT2G22840,,,,,
218,,AT2G20570,,,,,
219,,AT2G20450,,,,,
220,,AT2G19870,,,,,
221,,AT2G18940,,,,,
222,,AT2G17972,,,,,
223,,AT2G17250,,,,,
224,,AT2G13690,,,,,
225,,AT2G12462,,,,,
226,,AT2G12170,,,,,
227,,AT2G09975,,,,,
228,,AT2G09350,,,,,
229,,AT2G05920,,,,,
230,,AT2G04240,,,,,
231,,AT2G03890,,,,,
232,,AT2G02980,,,,,
233,,AT2G02880,,,,,
234,,AT2G02100,,,,,
235,,AT2G02070,,,,,
236,,AT2G01410,,,,,
237,,AT1G80270,,,,,
238,,AT1G79920,,,,,
239,,AT1G78270,,,,,
240,,AT1G78180,,,,,
241,,AT1G77230,,,,,
242,,AT1G76878,,,,,
243,,AT1G75200,,,,,
244,,AT1G74720,,,,,
245,,AT1G74050,,,,,
246,,AT1G73350,,,,,
247,,AT1G72050,,,,,
248,,AT1G72040,,,,,
249,,AT1G71970,,,,,
250,,AT1G70600,,,,,
251,,AT1G68570,,,,,
252,,AT1G68568,,,,,
253,,AT1G68238,,,,,
254,,AT1G67430,,,,,
255,,AT1G67110,,,,,
256,,AT1G66440,,,,,
257,,AT1G65370,,,,,
258,,AT1G65030,,,,,
259,,AT1G64405,,,,,
260,,AT1G64190,,,,,
261,,AT1G63680,,,,,
262,,AT1G61870,,,,,
263,,AT1G61740,,,,,
264,,AT1G60590,,,,,
265,,AT1G60560,,,,,
266,,AT1G60530,,,,,
267,,AT1G60525,,,,,
268,,AT1G57860,,,,,
269,,AT1G57660,,,,,
270,,AT1G55310,,,,,
271,,AT1G53541,,,,,
272,,AT1G53510,,,,,
273,,AT1G52980,,,,,
274,,AT1G52620,,,,,
275,,AT1G51965,,,,,
276,,AT1G49600,,,,,
277,,AT1G49470,,,,,
278,,AT1G48570,,,,,
279,,AT1G48560,,,,,
280,,AT1G47500,,,,,
281,,AT1G46264,,,,,
282,,AT1G44760,,,,,
283,,AT1G43710,,,,,
284,,AT1G33265,,,,,
285,,AT1G32450,,,,,
286,,AT1G31770,,,,,
287,,AT1G30610,,,,,
288,,AT1G28290,,,,,
289,,AT1G27921,,,,,
290,,AT1G27370,,,,,
291,,AT1G26770,,,,,
292,,AT1G25260,,,,,
293,,AT1G24280,,,,,
294,,AT1G24020,,,,,
295,,AT1G23410,,,,,
296,,AT1G23400,,,,,
297,,AT1G16740,,,,,
298,,AT1G15550,,,,,
299,,AT1G14900,,,,,
300,,AT1G14180,,,,,
