,COL,LYM,COL_LYM,CERK,COL_CERK,LYM_CERK,ALL
0,ATCG00350,ATMG01390,AT4G27300,AT5G59320,,,AT3G60690
1,AT5G67430,ATMG00020,AT2G41010,,,,AT2G36430
2,AT5G67320,ATCG01180,AT5G66320,,,,
3,AT5G66910,ATCG00490,AT5G64660,,,,
4,AT5G66060,ATCG00130,AT1G19770,,,,
5,AT5G65870,AT5G67400,AT1G11303,,,,
6,AT5G64070,AT5G66800,AT5G43620,,,,
7,AT5G64060,AT5G66490,AT1G67890,,,,
8,AT5G62573,AT5G66200,AT3G09405,,,,
9,AT5G61440,AT5G66040,AT2G32020,,,,
10,AT5G60310,AT5G65690,AT4G16957,,,,
11,AT5G59990,AT5G65687,AT3G05360,,,,
12,AT5G59580,AT5G65500,AT3G46090,,,,
13,AT5G57230,AT5G65160,AT5G56750,,,,
14,AT5G55060,AT5G65020,AT5G46780,,,,
15,AT5G54840,AT5G65010,AT2G45920,,,,
16,AT5G54650,AT5G64930,AT1G63500,,,,
17,AT5G52810,AT5G64500,AT5G38895,,,,
18,AT5G52800,AT5G64450,AT4G25360,,,,
19,AT5G51720,AT5G64440,AT1G70250,,,,
20,AT5G50790,AT5G64250,AT2G14740,,,,
21,AT5G48570,AT5G64040,AT4G27500,,,,
22,AT5G48370,AT5G63620,AT2G34650,,,,
23,AT5G46050,AT5G63390,AT3G16030,,,,
24,AT5G45320,AT5G63340,AT3G21230,,,,
25,AT5G44565,AT5G63160,AT3G44400,,,,
26,AT5G44180,AT5G62720,AT3G21080,,,,
27,AT5G43470,AT5G62520,AT4G02210,,,,
28,AT5G40030,AT5G61820,AT3G54420,,,,
29,AT5G28237,AT5G61530,AT3G08710,,,,
30,AT5G25980,AT5G61370,AT3G25240,,,,
31,AT5G25260,AT5G61280,AT3G63500,,,,
32,AT5G24510,AT5G61260,AT1G53060,,,,
33,AT5G23160,AT5G60680,AT1G70740,,,,
34,AT5G21900,AT5G60360,AT3G29000,,,,
35,AT5G20840,AT5G59220,AT1G17147,,,,
36,AT5G20200,AT5G58700,AT1G35710,,,,
37,AT5G17000,AT5G58375,AT2G22870,,,,
38,AT5G14280,AT5G58320,AT4G12735,,,,
39,AT5G13500,AT5G58010,AT4G37290,,,,
40,AT5G12850,AT5G57940,AT3G18950,,,,
41,AT5G09330,AT5G57910,AT1G24150,,,,
42,AT5G09160,AT5G57655,AT3G07565,,,,
43,AT5G07145,AT5G57630,AT4G02380,,,,
44,AT5G01990,AT5G57625,AT3G03050,,,,
45,AT5G01630,AT5G57550,AT1G21910,,,,
46,AT5G01490,AT5G57540,AT1G22190,,,,
47,AT5G01285,AT5G57530,AT1G51700,,,,
48,AT5G01125,AT5G57500,AT4G39830,,,,
49,AT5G01030,AT5G57345,AT2G40110,,,,
50,AT5G00965,AT5G57060,AT5G52720,,,,
51,AT4G39900,AT5G57000,AT1G73510,,,,
52,AT4G39320,AT5G56870,AT2G41640,,,,
53,AT4G37770,AT5G56795,AT4G23015,,,,
54,AT4G37608,AT5G56620,AT3G56410,,,,
55,AT4G37310,AT5G56610,AT1G66400,,,,
56,AT4G34135,AT5G55560,AT1G23830,,,,
57,AT4G32620,AT5G55100,AT1G11330,,,,
58,AT4G30790,AT5G54930,AT3G25600,,,,
59,AT4G30320,AT5G54780,AT2G41420,,,,
60,AT4G29790,AT5G54300,AT3G49810,,,,
61,AT4G28420,AT5G54110,AT1G65190,,,,
62,AT4G27657,AT5G53300,AT3G07925,,,,
63,AT4G27654,AT5G53010,AT5G24110,,,,
64,AT4G27100,AT5G52680,AT4G35940,,,,
65,AT4G26180,AT5G52580,AT5G46350,,,,
66,AT4G25070,AT5G52410,AT2G23270,,,,
67,AT4G22530,AT5G52320,AT1G66910,,,,
